"","cell_id","ACACA","ADAMTS19","ADCY2","AFF2","AGAP1","AGBL4","AKAP6","AKT3","ANK2","ANKS1B","ARHGAP10","ARHGAP24","ARHGAP6","ASTN2","ATAD2B","ATP8A2","AUTS2","BBS9","BCAS3","BMPR1B","BTBD9","CACNA2D3","CACNB2","CADPS2","CD226","CDC42SE2","CDH12","CDH13","CDH4","CDK14","CDKAL1","CEP128","CEP85L","CHSY3","CNTLN","CNTN3","CNTN4","CNTN5","COG5","COL4A5","COL4A6","COMMD10","CSMD3","CTNNA2","CTNND2","DAB1","DACH2","DCC","DGKB","DGKI","DIAPH2","DIP2C","DLG2","DLGAP1","DNER","DOCK1","DOCK4","DOK6","DPP10","DPYD","EDA","EDIL3","EHBP1","ELMO1","ELP4","EPHA6","ERBB4","ERC2","EXOC4","FARS2","FAT3","FBXL17","FBXL7","FER","FGF12","FGF13","FGGY","FHIT","FHOD3","FOXP1","FRMD3","FTO","GABRG3","GALNT13","GMDS","GPATCH2","GPC5","GPC6","GPHN","GRID1","GRID2","GRIK2","GRM5","GRM7","GRM8","HBP1","HDAC9","HHAT","HS6ST3","IDNK","IL1RAPL1","IMMP1L","IMMP2L","INPP4B","IPO11","ITFG1","KAZN","KCNH1","KCNH8","KHDRBS2","KIAA1328","KIRREL3","KLHL29","LAMA2","LINGO2","LPP","LRBA","LRP1B","LSAMP","LUZP2","LYPD1","LYRM4","MACROD2","MAD1L1","MAGI1","MAGI2","MAP7D2","MARCHF1","MBD5","MCM9","MCTP1","MDGA2","MDH1","MECOM","MGAT4C","MGMT","MID1","MLF1","MSRA","NAALADL2","NAV3","NBAS","NBEA","NCAM2","NCKAP5","NEGR1","NEK11","NELL1","NKAIN2","NKAIN3","NLGN1","NR3C2","NRG3","NRXN3","NSUN6","NUP155","OPHN1","OVCH1","PAPPA","PAPPA2","PARD3","PARD3B","PCCA","PCDH11X","PCDH9","PDE1C","PDE4D","PHKB","PHTF2","PIK3C2G","PLCB1","PLEKHA3","PLXDC2","PPFIA2","PRDM5","PRKD1","PRKG1","PSME4","PTPRD","PTPRG","PTPRK","PTPRM","PXDNL","R3HDM1","RABGAP1L","RAP1GDS1","RAPGEF6","RBMS3","ROBO1","RORA","RSBN1L","RSRC1","RYR2","SCFD2","SDCCAG8","SDK1","SEMA6A","SH3GL2","SH3KBP1","SLC44A5","SLC9A9","SLCO3A1","SMYD3","SNX29","SORCS1","SOX5","SOX6","SPAG16","SPATA17","STK3","STXBP4","STXBP5L","SYT1","TAOK3","TBC1D5","THSD4","THSD7B","TIAM1","TMEM117","TMEM167A","TMTC1","TMTC2","TOM1L1","TPGS2","TPK1","TRAPPC12","TRAPPC9","TRIP12","TTN","TYR","UBQLN1","ULK4","UNC5C","UNC5D","VPS13B","VTI1A","WDFY3","WDPCP","WDR7","WDR70","WWOX","XRCC4","ZBTB20","ZFAND3","ZFPM2","ZRANB3"
"SIDM00348","SIDM00348","4.1135","0","0","0.0144","2.8699","0","0.7137","0.5059","0.0286","0.0426","2.6781","0.3896","0.0841","0.0704","1.844","0.0704","3.4463","1.4542","2.696","1.384","0.903","0.0144","0.5558","1.3505","0.0976","4.4383","0","0.0704","0.0566","0.8074","2.1763","2.6462","0.7655","0.9336","1.9964","0","0","0.4751","3.2296","3.7538","1.3334","4.2525","0.0144","0","0.0144","0.0144","0","0","0","0.0144","1.3277","0.8319","0.3334","0","0.4114","3.568","0.6415","0","0","2.3757","0.2388","2.7004","4.9832","2.0461","3.5097","0.0286","0.0286","0.3219","3.9727","3.2987","0.0144","2.278","0.0286","2.4436","0.9928","2.2957","2.26","0.0286","2.969","2.4114","0.1763","3.9495","0","0.0144","4.7317","2.6531","0.0566","0.0286","3.8718","0.0144","0","0.1635","0","0","0.0144","3.859","3.0858","0.4114","0.0144","2.3248","0.0144","4.6053","2.3277","3.8963","3.5741","4.1276","2.6554","0.0704","0","0","1.4699","0.4751","0.0841","0.3219","0.1243","2.4647","3.2203","0.0144","0.0976","0","0.9184","4.2071","0.0704","3.7613","1.1827","0.2265","0.1635","1.4436","2.406","2.7655","0.5261","0","6.7145","3.4489","0.0144","1.7268","3.3161","4.7214","2.2418","0.5656","2.1922","3.1177","0.2987","0","0.189","0.3674","0.926","0","0.0286","0.0286","0.0841","0.0144","0","0","2.275","4.6058","2.2203","0","1.4854","0.0144","2.7312","0.1506","2.441","0","0.2987","0.0566","2.4141","5.0755","4.0548","0.9411","2.0566","2.4803","0.774","0","0.9561","1.0072","0.3334","4.5304","0.0144","0.6415","4.4542","1.5059","0.0144","4.4216","3.6713","4.3498","2.3391","0.4647","1.9891","0.4436","3.2898","5.1481","0.0144","2.6159","4.9514","1.5801","0.3334","0.0286","4.266","2.3277","0.8797","5.2972","3.5148","2.2987","0.0144","0.0144","0.0976","3.1731","0.84","3.0072","1.4489","0.0426","1.6871","4.0072","4.5705","1.7949","0.0286","3.3205","1.8679","5.6141","0.263","2.0108","4.8151","6.0237","0.6415","4.0909","2.856","5.7315","0.1506","0.0286","6.0995","1.5558","0.0704","0","1.8718","3.4289","3.0286","1.6369","1.4276","3.8043","2.7698","3.696","0.1375","4.5527","0.3103","2.2079"
"SIDM00349","SIDM00349","4.7803","0","0","0.2869","4.1094","0","3.0618","2.2141","0.4436","0.1506","3.9928","0.1375","0.0286","0.669","3.1969","0.0144","5.2547","2.5008","4.1843","3.0755","2.2388","0.0566","0.7655","1.2141","0.2388","5.111","1.6599","2.2987","0.2265","3.3349","3.2494","3.855","1.157","0.1506","1.6599","0","0.0566","0.0144","4.3226","6.127","2.3306","5.1218","0","0.0286","0","0.0144","0","0","0","0.0144","3.0841","1.8197","0.5261","0.0144","0.2141","4.9189","1.275","0","0","3.2854","1.852","2.1408","5.278","0.5361","3.5084","0.0841","0.0144","0.0976","4.6141","3.6519","0.111","3.2525","0","3.3001","1.406","2.3813","3.3477","2.7655","5.1189","4.5705","0.3334","5.6447","0.0286","0.6599","4.6041","3.1779","0","0.3334","5.3041","0.0286","1.0356","0.2388","0","0","0","3.9126","1.3505","1.585","0.0144","1.8875","0","3.7981","3.2928","5.1069","4.0738","5.6115","3.2418","0.0426","0","0.0144","2.729","0.1763","0.2265","0.84","0.3103","5.3259","5.3445","0","0.4957","0.263","4.047","3.9635","0.7991","4.354","3.2525","0.4222","0.926","1.2449","2.3923","3.9514","0.8797","0.0841","7.7646","3.6029","0","5.0583","5.3809","5.4353","2.7613","1.3391","0.0426","4.251","1.2869","0.251","1.0566","0.0426","1.1506","0","0.0286","0","0.4751","0.1375","0","0.4957","3.8817","6.413","3.3757","0","1.9184","0","7.329","0.5059","3.5385","0","0.251","0","2.5753","5.8304","4.5656","0.0286","0.0566","3.0959","0.0976","0","1.0496","1.5656","0.0566","5.7442","0.0286","0.3785","5.7973","3.5348","0.0144","5.5043","3.5385","5.557","3.3951","1.3103","1.3391","2.1506","3.5447","5.5686","0.0426","2.943","6.0014","2.6758","0.4222","0.0144","4.3147","0.9184","1.3219","5.1006","4.101","2.7677","0","0.0566","0.189","3.5546","0.3219","5.3593","2.2141","0.263","2.4222","4.6076","4.7285","3.7082","0.0426","3.0514","3.1875","6.3379","2.3306","2.8639","5.0334","7.2416","0.5558","4.8649","4.6058","6.246","0.0976","0.0286","6.2933","1.6826","0.5558","0","3.1408","4.5116","5.2702","2.9107","2.669","5.4273","3.2479","4.0045","0.3896","6.1385","0.263","2.342"
"SIDM00350","SIDM00350","5.7175","0","0","0.0286","3.1795","0","1.8032","0.4647","0.0976","0.0841","3.2063","1.4222","0.0566","1.2928","2.8053","0.0426","4.1771","3.3813","3.8934","0.0566","1.696","0.0841","0.6041","0","0.1635","4.1882","0.0144","4.4783","0.0704","2.742","2.9727","3.3576","1.2016","2.2357","2.4931","0","0.0286","0.1763","4.5223","5.6511","3.3688","4.0277","0.3785","0","0","0","0","0","0.2265","0.0144","1.189","0.6229","1.5211","0.0144","2.7866","4.3161","1.0286","0","0","3.2063","2.1077","4.7824","5.4673","0.3219","4.9054","0.5945","0.0286","0.0144","5.0219","4.1243","0.0426","2.488","0.0144","2.862","0.848","2.9782","2.9928","0.7655","1.5261","3.6088","0.0286","5.0352","0","0.0704","4.6508","4.3889","0.0426","0.0426","4.441","0.433","0.0426","0.0144","0.0426","0","0.0976","4.8997","3.6633","1.2265","0","2.5236","0.0144","4.847","3.6369","3.1587","4.2032","4.9713","2.5558","0.0144","0.0144","0","3.0179","0.5753","1.9336","0.8797","0.0566","3.6392","3.6736","0.2141","0","1.4222","0.5656","4.3491","0.1763","4.1683","1.9598","0.546","0.251","2.0286","3.2854","2.9222","1.9298","0.0704","7.9067","2.7613","0","3.5777","5.1687","4.8595","2.7887","0.4957","2.5008","3.7856","1.3161","0.189","0.4957","0.0144","1.3448","0.0286","0.4005","0","0.0144","0.1375","0","0.0144","3.269","5.6896","2.4621","0","0.3674","0","5.0904","1.6088","4.6741","0.0144","1.0772","0.1635","2.0976","6.0188","4.4938","1.9107","2.3132","2.9616","0.7908","0.0704","0","0","0.111","5.1285","0.0286","0.4436","5.3056","0.3219","0.0144","5.288","4.5656","4.4396","2.8237","1.5509","1.157","2.2079","4.0644","5.1272","0.516","3.4529","5.8209","2.5261","0.2265","0","4.2257","2.8758","2.2388","5.5419","4.3681","2.4983","0.0286","0.4436","2.4436","3.9298","1.7991","4.9045","2.8934","0.0566","1.6135","4.3639","4.1449","3.6611","0.0841","3.5423","3.0268","6.0736","0.0566","2.1276","5.2709","6.9509","0.9855","5.4016","3.591","5.2909","0.3561","0.0144","6.3799","1.4594","0","0.0286","3.1715","3.9317","2.7071","2.5084","2.6206","5.3635","4.9288","4.0807","0.585","5.0985","0.856","3.2219"
"SIDM00352","SIDM00352","5.1558","0","0","0.0286","2.7463","0","0.0976","2.3074","0.2388","0.0144","1.2869","0.1243","0","2.6323","1.2141","0.275","0.0841","0.9107","3.06","0.0286","0.9411","0.6229","0.1763","0.7049","0","2.9467","0.0144","0.1243","0.0841","0.263","3.8649","0.7049","0.251","0","0.7398","0","1.7181","0","2.2141","0.5656","0.0286","3.126","0","0.0144","0.0144","0","0","0.0144","0","0","0.8074","0.6323","0.1375","3.3406","0.1375","2.1635","0.275","0.0704","0","1.189","0.1763","0.1635","3.1408","0.1635","2.7634","0.1243","0.0286","0.5753","3.488","2.9467","0.0144","1.3505","0.0144","1.1953","1.2265","0.0286","2.4957","1.4489","0.1506","2.1635","0.4005","3.6473","0.0566","1.111","4.3031","1.844","0.0286","0.0144","2.9203","2.067","0","0.0286","0.0286","0","0.1375","3.4423","2.272","2.7312","0","1.7908","0","5.4803","1.6781","2.4222","2.98","4.9174","3.852","2.2079","0.0144","0","0.757","0.1763","2.0391","1.0566","1.3505","1.4906","4.2087","0.1506","0","0.0144","0.9184","4.9565","4.4867","3.4249","0.7398","0.0704","0.2265","1.8074","1.511","1.7991","1.546","0.1763","7.1693","3.3074","0.7049","3.5729","0.0841","1.696","2.5753","1.0976","0.111","4.1683","1.3219","0","0","0.1635","1.2388","0.0144","0.0286","0","0.4957","0.0841","0","3.441","1.4005","2.5922","2.6088","0","0.0976","0.4436","4.8807","0.696","3.6938","0","0.0144","0.0286","1.9184","3.862","1.3561","0","1.7866","1.7698","0.0704","0","1.9561","1.6554","0","3.8992","0.0144","2.6713","4.9189","2.6645","0","2.6041","0.757","3.0942","1.433","0.1375","0.848","1.1043","0.8074","2.86","0.4957","2.0738","3.859","0.1375","4.4931","0.0566","2.2327","0.2016","0.0144","0.669","2.5656","1.1827","0","0.0286","0.2016","2.2296","1.6599","3.1922","2.189","0","0.251","1.8797","2.757","4.9203","0","0.0144","1.4383","4.6124","0.0144","1.3785","5.7916","5.578","1.275","4.916","1.9855","4.4588","0.0286","0.0426","5.9033","2.991","0","0","1.5558","2.6159","3.0286","1.3561","0.8797","3.0286","2.5385","2.7049","0.0976","5.8017","0.1763","1.4436"
"SIDM00353","SIDM00353","4.0197","0","0","0","3.858","0","0.8953","4.4822","1.3277","0.189","2.9467","3.516","0.0566","2.2296","1.7225","0.1243","0.0286","3.278","3.0321","0.0426","1.585","0.3896","0.2016","0.0841","0.0426","4.4614","0","5.1264","0.0426","3.6358","2.9449","3.3118","2.3923","0.1375","3.144","0","0","0.0144","4.04","4.2987","2.8639","4.8288","0","0.0286","0.275","0.189","0","0","0","1.9819","1.6645","3.189","0.6041","0.0144","7.468","5.0041","5.1735","0.856","0.3896","4.6433","0.111","1.7268","5.7032","0.189","3.8186","0.1243","0.0144","0.7137","4.6571","4.157","0","3.6993","3.9946","3.5619","1.6508","2.3896","3.106","0.546","4.228","3.8197","4.3533","5.4316","2.2172","0.0144","4.5329","2.025","0.1635","1.852","3.6826","0.0144","0","0.1506","0.0286","0","0","4.8664","3.5668","1.269","0.111","2.0875","1.4542","5.8773","2.8718","2.1763","4.7719","4.6206","1.5311","0.0426","0.0144","0","1.4647","1.144","2.0635","0.5059","0.9635","3.3964","4.8817","0.0426","0.0566","0","2.4356","4.7533","1.0772","5.8298","2.1276","0.3103","2.06","0.5558","2.84","2.4568","3.5059","0","7.3179","2.3923","0","4.8415","2.8758","4.263","2.7866","0.4005","3.957","3.8738","1.7908","0.4854","0.546","0.1763","2.0321","0","0.0426","0.0976","0.0286","0.0704","0","0","3.0215","4.62","1.9336","0.0566","3.6758","2.6276","5.8128","2.2048","3.0054","0","0.1375","0.2987","2.6017","4.8202","3.5969","0","1.848","3.2327","0.0286","0.1375","2.9355","2.9635","0.6871","5.2122","0.6599","3.2824","4.342","5.1497","0.0704","5.0103","2.7929","5.0947","3.1827","1.6736","4.3291","1.6229","2.266","4.9217","0","3.1763","4.8654","3.0479","1","1.1763","6.2464","0.0426","0.5361","3.3646","4.2802","1.9819","0.0426","0.275","0.0566","3.8227","0.7137","3.2434","1.9855","0.0426","2.1408","5.4838","4.9453","5.9982","0","3.541","0.8797","5.7568","0.8639","1.5311","4.591","5.5549","2.4777","4.8763","2.2449","6.5347","0.0144","0.0426","6.2858","1.8074","0.0286","0.0704","3.2479","3.5729","4.1218","2.6041","1.6736","4.7447","3.1667","4.3611","0.7225","5.6156","1.9449","2.0321"
"SIDM00354","SIDM00354","5.6296","0","0.0976","0.5261","3.6088","0.0841","0.7824","1.7782","1.2265","0.1243","3.0959","0.263","0.1506","2.3161","2.8278","0.3785","4.5552","2.3277","3.86","0.0426","2.144","0.9411","0.4436","0.7312","0.1375","4.2095","0.4542","5.3038","0.585","4.6299","3.2884","3.0909","2.121","1","2.9107","0","0.1375","0.0841","5.2869","2.7312","0.7655","5.1309","0.0144","0.0704","0.1243","0.0426","0","0","0","1.6781","1.6041","3.4263","1.0072","0.0144","5.6401","4.6809","1.1699","0.1243","0.0566","3.4621","0.2265","4.1169","5.4067","4.8718","3.7981","0.8156","0","0.7485","4.2502","3.6017","1.5607","3.278","1.8992","2.2898","0.669","2.0875","2.98","0.4751","4.7623","4.9126","0.8319","6.2828","0.0704","0.0976","4.6611","2.8339","0","0.7485","3.5644","2.0072","0.0426","0.263","0","0.0144","0.0286","5.2994","2.7677","4.314","0","2.4033","0.2265","4.0286","1","2.144","3.6427","5.5771","1.8359","3.278","0.0286","0","1.86","4.9472","1.9411","0.0704","0.0144","4.3147","3.1554","0.0566","0.189","0","6.8307","5.0334","0.111","4.5148","2.373","0.546","2.211","1.1177","2.3618","2.8639","0.8639","0.0144","7.5088","3.269","0","0.9486","6.1274","4.9649","2.211","0.0704","2.257","3.9495","0.516","0.6599","3.3089","2.4751","2.1473","0.0144","0.0144","0.2265","0.0144","0.0976","0.0144","0.0704","2.844","5.1081","2.5236","0.0976","1.3391","0.0976","5.0121","1.1177","4.04","0","0.111","5.3632","2.4957","6.0531","5.0921","0","4.5999","3.3448","0.0841","0.0144","0.6781","2.1953","0.0841","5.4433","1.1043","2.9222","6.1843","5.0678","0.0976","5.1827","3.319","5.2529","3.079","0.926","4.1603","2.067","3.6542","5.1081","0.0144","4.1293","5.0845","3.6124","0.5656","0.0144","6.3176","2.3074","0.0704","4.5892","4.8012","1.7782","0.0976","0.0144","0.1763","4.2396","0.516","3.5753","2.7203","0.669","2.9392","4.4005","4.1969","3.2913","0","2.86","2.6508","7.0023","3.9107","0.189","4.5211","6.6304","0.3334","5.1534","2.4168","6.1556","0.1375","0.0704","6.1585","2.06","0.0286","0.0144","3.4529","4.278","3.8885","2.546","2.2957","4.843","3.3785","4.4957","0.7049","5.7806","0.275","2.4906"
"SIDM00355","SIDM00355","5.0976","0","0","0.3103","4.5267","0.0841","0.848","2.441","1.8197","1.5361","2.7093","2.1342","0.9782","2.0909","2.1077","0.4005","3.2063","2.5211","2.7929","1.3785","2.1243","2.3334","0.7485","1.7908","0.4222","4.4276","0.1375","3.6369","0.263","1.5261","2.272","2.0875","1.6276","0.3674","2.8875","0","0","0.0144","3.6496","5.8477","4.943","4.7447","0","0.6599","0.1375","0.0426","0.0286","0.0144","0.1375","0.7312","1.6323","2.3785","0.7908","1.0635","2.257","3.851","1.9709","0.7655","0.0144","2.3868","0.1763","0.6599","5.7735","1.0426","3.3349","0.0704","0.0426","0.1763","4.8625","3.2188","0","3.6747","1.1635","2.257","0.2869","1.7908","2.8032","0.7137","2.854","2.9928","1.7485","5.1747","0.2141","1.2265","3.9616","3.1326","0.0704","0.9184","3.3161","0.111","0.0144","1.5801","0","0","0.0976","5.0887","2.144","2.729","1","2.541","0.856","5.0121","3.5862","1.6415","3.3406","5.5729","1.257","0.6781","0.0286","0.0286","2.0072","0.7398","1.856","1.0976","0.0704","3.1922","4.0832","1.5059","1.251","0.263","3.8846","4.4854","0.5261","4.2869","3.366","0.7225","0.6508","0.5656","3.1859","3.1619","2.1603","0.189","7.6022","2.0356","0.3103","4.3241","5.2555","4.2615","3.3491","0.4647","2.8953","3.9864","1.4542","0.0704","1.7698","0.3103","2.3618","0","0","0.1506","0.5261","0.0286","0","1.3391","2.3448","4.0321","1.4114","0.111","4.275","0.4957","5.1355","0.696","3.0426","0.0144","0.0144","0.6781","4.6915","5.0085","3.9336","0.111","1.2265","3.2032","0.0566","0.263","1.2987","2.6668","0.0704","5.1489","0.0426","2.4957","3.6029","3.9467","0.263","4.9208","3.2063","4.2008","2.696","0.8639","5.9184","1.4854","3.2126","4.5236","0.0286","3.0108","3.6194","2.8718","1.7655","0.4542","6.2317","0.2265","1.3561","2.319","4.4303","2.2265","0.1243","0.4114","0.4436","3.9174","1.0215","3.4436","2.0738","0.3674","4.2645","3.9635","4.3674","5.0947","0.0144","4.0054","2.3334","4.861","2.7949","2.8278","5.025","6.1587","1.9184","5.1635","3.5046","6.5326","0.0841","0","6.2939","1.8278","1.5801","0.0286","3.0409","3.2928","3.8639","2.1276","2.1342","3.4944","3.4581","2.9745","0.3896","5.5726","0.9855","1.7398"
"SIDM00356","SIDM00356","5.431","0","0","0.0286","3.6758","0","0.6508","0.111","0.111","0.2987","3.9946","0.4436","0.0144","2.3219","2.541","0.0144","0.2141","3.3016","3.6622","3.0054","2.2296","0.0426","2.1795","4.9964","0.0286","4.0224","0","0.0704","1.3219","3.9269","3.8904","1.856","1.6915","0","2.3505","0","0","0.0144","5.1993","0.5261","0.0144","4.0866","0","0.0144","0","0.0286","0.0144","0","0.0144","0.516","0.3103","2.4777","0.3896","0.0144","4.0027","4.2418","3.6288","0","0","3.4803","0.0286","0.189","4.5625","0.1243","3.7782","1.9373","0.0144","0.0841","5.6871","4.3356","0.0144","3.5957","0.0144","1.7093","3.4249","1.3785","3.3176","0.0566","0.0286","3.7981","3.7708","5.228","0","0.0144","6.2259","2.3477","0.0144","0.0704","2.7549","0.0426","0.0426","0.0841","0","0","0","5.7562","1.384","1.516","0.1635","4.0126","0.0144","4.8232","5.4012","3.9326","4.3757","5.7895","1.0496","0","0","0.0286","1.0566","0.84","2.0426","0.2869","0","3.9193","5.3509","0.2388","0","0.0144","0.0841","5.3466","1.275","4.2906","3.4343","0.263","0.0704","1.1309","3.0807","2.9203","3.269","0.0144","7.4716","0.0976","0","4.7109","4.1326","4.0951","1.4222","3.4621","0.0566","4.5329","1.5261","0","0.0144","0.0286","2.6112","0.0566","0.0144","0.0144","0","0.111","0.0144","0.0144","2.5435","5.1827","1.4114","4.1001","0.251","0.0144","4.4874","1.6645","3.0126","0","0.3103","0.3896","5.8174","5.1148","4.0444","1.0772","4.0764","3.5008","0","0.516","0.0144","0.0286","0.0426","5.0085","0","0.0841","5.0475","6.9564","0.0426","4.3001","4.0295","3.4568","1.8758","0.1635","3.7793","0.6415","3.8278","4.0849","0.0286","3.0179","3.4673","0.0426","0.4005","0","2.969","0.2388","0","0.0976","4.5166","1.8639","0.0566","0.0144","0.0976","4.9791","1.8237","4.568","2.2234","0","0.926","4.7366","4.0798","4.7398","0","1.6041","2.541","5.4838","0.0144","3.4343","5.9212","4.8934","0.9928","5.314","4.2668","6.2475","0.189","0.0566","6.3661","1.9449","0.2987","0","3.6803","3.5619","3.706","2.278","1.5211","4.9312","2.546","2.7485","0.0841","6.0613","0.1635","1.7442"
"SIDM00358","SIDM00358","6.2593","2.278","0","1.0286","2.0036","0.0286","3.0583","0.2987","2.2957","0.2141","2.3618","3.4621","0.5361","1.9449","2.9523","1.281","0.2388","2.669","4.3896","0.0566","2.111","0.0144","0.6041","2.774","0.1243","4.1827","1.3161","0.0704","0.6229","2.2987","2.9928","2.7398","1.373","1.3674","1.7312","0","1.7049","0.0144","4.1651","4.4141","3.157","4.6502","0.111","0.0566","0.1635","0.0704","0.0426","0.0841","0.0426","0.0144","2.263","2.7093","0.3334","0.0566","0.7049","4.5969","1.373","0","0.8639","0.1506","2.0144","3.5173","5.1359","1.0144","3.6206","1.384","1.3896","0.0566","4.6439","3.4647","0.0286","3.5945","0.0144","2.7442","3.6064","0","3.9126","3.0036","2.9764","3.4074","0.4114","5.4857","0","0.4854","5.4722","2.8856","1.2987","4.0135","4.5273","2.0144","0.774","0.6781","0.0426","0","0","5.3771","0.9561","1.8278","0.0566","1.8797","0.0286","4.5771","3.0807","2.4751","2.943","4.6971","3.9486","0.0841","1.0286","0.0144","1.1635","0.0426","3.7463","3.8349","0.6415","3.3448","4.8048","0.8319","0.0286","0.7655","0.2141","5.2184","1.6508","4.7719","3.6938","0.8718","0.3103","1.8639","2.6041","3.2449","0.8718","1.0496","7.5795","1.0426","0.4005","5.2642","4.257","4.2334","1.281","1.3674","0.5261","3.6288","1.384","1.6182","0.1763","0.1763","2.1144","1.852","0.0704","0.9486","0.5558","0.4751","0","0.2016","2.7845","3.6554","1.7049","0.0144","0.0426","0.0426","5.0883","2.275","3.6542","0","1.8278","0.0426","2.4303","5.23","4.263","0.585","3.157","2.0704","0.0704","0","3.0479","0.275","1.903","5.4087","0.4005","3.706","4.85","4.6826","0.1243","4.5135","3.2765","3.0652","2.6645","2.9279","5.1206","0.6041","3.742","4.8037","1.8359","3.1875","4.9846","3.756","3.2342","0.0286","3.4396","2.4699","0.4957","3.3519","3.0514","2.189","0","1.144","2.4222","4.3484","1.5509","4.1675","2.511","0.0841","1.1635","3.1731","5.6014","1.2869","0.251","2.8659","3.7602","5.5835","0.4005","3.3434","4.8319","5.2664","0.3103","4.8679","3.4209","6.1875","0.3448","0.0704","5.8146","2.4621","1.263","0.0426","3.1763","6.774","4.2987","3.0925","1.4751","3.8748","4.3045","4.4931","0.3219","5.2168","0.1506","3.1027"
"SIDM00359","SIDM00359","4.033","0.0426","0","0.0286","4.0108","0","0.5945","0.2141","0.4005","0.2141","2.2048","0.0976","1.1506","1.1309","2.4005","0.0704","2.7506","1.3561","2.7949","0.1243","1.6599","0.0144","0.4222","2.1077","0.189","4.017","0.0286","0.0426","0.6781","0.4542","2.254","2.275","0.6781","0.0566","0.0841","0.0704","0.0144","0.0286","4.4841","0.2388","0.0286","3.5898","0.1635","0.4854","0","0","0","0","0.0426","0","3.5826","0.111","0.4854","0.0566","0.0286","4.0453","1.9672","0","1.4542","0.0286","1.7355","0.1243","6.2106","0.189","3.2157","0","0.0144","0.3561","4.6352","2.6554","0","3.1795","0.0144","2.3618","0.111","4.4931","3.2972","2.585","1.4276","1.406","0.774","3.9551","0","0.0841","5.0246","2.7677","0.0286","0.0144","3.7312","0.111","0","0.3896","0","0","0.0566","4.8904","2.7866","0.2141","0","2.8934","0.9561","3.4222","4.2149","3.0479","3.4046","4.1659","1.6369","0.0144","3.1077","0","1.257","0.3896","0.275","0.5261","0","3.4155","4.2517","0.0144","0.0976","0","0.1243","3.6147","1.0566","5.2338","3.2157","0.5361","4.3889","1.6554","2.7004","2.8699","3.2765","0.0566","6.4893","3.1603","0.0426","0.0976","2.257","5.6276","1.774","1.0426","0.6323","3.6496","0.903","0.0566","0.0144","0.0144","1.3674","0","0.0704","0.0841","0","0.1506","0","0.3103","3.0426","3.7517","1.5509","0","0.0976","0.0286","4.3125","2.6135","6.4219","0","0.0144","0.0286","1.275","4.3038","3.0391","0","1.433","2.8718","0.1763","0.0426","0.2869","0.0286","0.2141","4.5122","0.0286","1.8074","4.26","2.1827","0.0566","3.855","3.8278","3.4396","2.4515","0.0841","3.5447","2.6112","3.1326","4.2994","0.1763","2.5311","3.844","0.0704","2.1827","0","5.5518","0.111","0.0426","2.5607","3.0755","1.3951","0.0841","0.0144","0.251","3.8278","0.7908","3.4195","0.4542","0.0286","2.2172","4.5564","4.0951","2.0426","0.0566","1.585","1.84","5.2403","0.0426","3.067","4.8977","4.5472","0.9411","5.1043","2.8359","5.2902","0.0566","0.1375","5.7658","2.157","0.0286","0.0144","2.7929","3.9411","3.1293","1.5311","1.2141","3.2824","2.5729","3.4699","1.5945","4.742","0.433","2.0286"
